北京,bj,y
天津,tj,y
石家庄,sjz,n
太原,ty,n
呼和浩特,hhht,n
沈阳,sy,y
大连,dl,y
长春,cc,n
哈尔滨,hrb,n
上海,sh,y
南京,nj,y
杭州,hz,y
宁波,nb,n
合肥,hf,y
福州,fz,n
厦门,xm,y
南昌,nc,n
济南,jn,y
青岛,qd,y
郑州,zz,y
武汉,wh,y
长沙,cs,y
广州,gz,y
深圳,sz,y
南宁,nn,n
海口,hk,n
重庆,cq,y
成都,cd,y
贵阳,gy,n
昆明,km,n
西安,xa,n
兰州,lz,n
西宁,0,n
银川,yinchuan,n
乌鲁木齐,0,n
唐山,0,n
秦皇岛,0,n
包头,0,n
丹东,dd,n
锦州,0,n
吉林,jl,n
牡丹江,0,n
无锡,wx,n
扬州,0,n
徐州,0,n
温州,wz,n
金华,jh,n
蚌埠,0,n
安庆,aq,n
泉州,quanzhou,n
九江,0,n
赣州,ganzhou,n
烟台,yt,y
济宁,0,n
洛阳,luoyang,n
平顶山,0,n
宜昌,yichang,n
襄阳,xy,n
岳阳,0,n
常德,changde,n
惠州,hui,n
湛江,zhanjiang,n
韶关,0,n
桂林,gl,n
北海,bh,n
三亚,san,n
泸州,0,n
南充,nanchong,n
遵义,0,n
大理,0,n
